WID,WELL_NAME,WELL_S_NAM,ELEVATION,DEPTH_m,ID_NQN,LATITUDE,LONGITUDE,F_ID,RID,Geometry_ID,OP_ID,ST_ID,FM_ID
12554,PAE.Nq.LA-401,LA-401,488.34,3090,A112,-38.63516919,-68.62206526,6,2,0,18,1,21
12555,PBE.Nq.M-1028,M-1028,665.3,1610,A076,-38.58215461,-69.4352677,1,2,0,16,1,14
12556,PBE.Nq.M-1035,M-1035,590.5,1830,A076,-38.59488094,-69.36685598,1,2,0,16,1,14
12557,PBE.Nq.M-1033,M-1033,602.8,1843,A076,-38.57157195,-69.3972939,1,2,0,16,1,14
12558,YPF.Nq.Laj-170(d),Laj-170(d),519.28,999999,A117,-38.75169399,-68.93726999,8,2,1,2,1,10
12559,YPF.Nq.Laj-174(d),Laj-174(d),543.67,999999,A117,-38.75687949,-68.93206699,8,2,1,2,1,10
12560,YPF.Nq.Laj-175(d),Laj-175(d),559.59,999999,A117,-38.75672149,-68.92579345,8,2,1,2,1,10
12561,YPF.Nq.Laj-186(d),Laj-186(d),677.51,999999,A117,-38.75301749,-68.89658299,8,2,1,2,1,10
12562,PBE.Nq.RN-1094(d),RN-1094(d),349.57,3962,A158,-38.71995796,-68.24446393,8,2,1,2,1,17
12563,PBE.Nq.SCh-119,SCh-119,803.15,1990,A167,-38.12813581,-69.32183112,8,2,0,16,1,14
12564,PEL.Nq.BP-1047,BP-1047,555.2,3153,A254,-38.12665239,-68.39382935,8,0,0,17,2,22
12565,PLU.Nq.Ce-1540(d),Ce-1540(d),289.62,3161,A243,-38.90579941,-68.28482726,1,2,1,25,1,11
12566,YPF.Nq.BN.a-57(d),BN.a-57(d),489.39,3941,A117,-38.70546216,-68.9012715,1,2,1,2,1,10
12567,YPF.Nq.LLL-1364(h),LLL-1364(h),491.09,4718,A114,-38.33175503,-68.79712049,8,1,2,2,1,23
12568,YPF.Nq.LLL-1365(h),LLL-1365(h),491.09,4775,A114,-38.33175473,-68.79694893,8,1,2,2,1,23
12569,YPF.Nq.AvN.a-688,AvN.a-688,556.36,1910,A138,-38.89302249,-69.13169193,8,2,0,2,1,10
12570,YPF.Nq.LLL-456(d),LLL-456(d),534,3456,A117,-38.49926511,-68.64084051,1,0,1,2,1,21
12571,YPF.Nq.LLL-876(h),LLL-873(h),512.96,999999,A117,-38.50046764,-68.64822856,8,0,2,2,1,21
12572,YPF.Nq.BN-68(d),BN-68(d),68629,3370,A117,-38.71740778,-68.86584055,1,2,1,2,1,10
12573,YPF.Nq.Laj-178(d),Laj-178(d),573.08,2592,A117,-38.75711042,-68.91875639,8,2,1,2,1,10
12574,YPF.Nq.Laj-176(d),Laj-176(d),559.49,999999,A117,-38.75653834,-68.92540665,8,2,1,2,1,10
12575,YPF.Nq.LLL-1322(h),LLL-1322(h),999999,999999,A114,-38.35490747,-68.71857307,8,1,2,2,10,23
12576,YPF.Nq.LLL-1324(h),LLL-1324(h),518.29,4703,A114,-38.35490692,-68.71834427,8,1,2,2,1,23
12577,YPF.Nq.LLL-1404(h),LLL-1404(h),520.96,5190,A114,-38.37064193,-68.7170131,5,1,2,2,1,23
12578,YPF.Nq.LLL-873(d),LLL-873(d),441.47,999999,A117,-38.51633789,-68.64435606,8,0,1,2,2,21
12579,YPF.Nq.PN.a-19,PN.a-19,544.27,999999,A165,-37.65143464,-68.26154199,8,0,0,2,1,8
12580,YPF.Nq.PN.a-26,PN.a-26,563.86,999999,A165,-37.62069635,-68.3657828,8,0,0,2,1,8
12581,YPF.Nq.RDM.c-187,RDM.c-187,689.53,1016,A155,-38.57227823,-69.23501089,8,0,0,2,10,20
12582,YPF.Nq.RDM-142(d),RDM-142(d),508.95,999999,A155,-38.5980321,-69.25281862,8,2,1,2,1,14
12583,YPF.Nq.SOil-353(h),SOil-353(h),469.09,4830,A114,-38.3719787,-68.53919047,5,1,2,2,1,23
12584,YPF.Nq.BN-38(d),BN-38(d),681.43,999999,A117,-38.71394508,-68.86277714,8,2,1,2,1,10
12585,YPF.Nq.LLL-1279(h),LLL-1279(h),517.95,4700,A114,-38.36711752,-68.6981466,8,1,2,2,1,23
12586,YPF.Nq.LLL-1280(h),LLL-1280(h),517.95,4707,A114,-38.36711781,-68.69826103,8,1,2,2,1,23
12587,YPF.Nq.LLL-1321(h),LLL-1321(h),518.29,4715,A114,-38.35490774,-68.71868748,8,1,2,2,1,23
12588,YPF.Nq.LLL-1323(h),LLL-1323(h),518.3,4715,A114,-38.35490719,-68.71845867,8,1,2,2,1,23
12589,YPF.Nq.LLL-1401(h),LLL-1401(h),520.97,4970,A114,-38.37064276,-68.71735639,5,1,2,2,1,23
12590,YPF.Nq.LLL-1402(h),LLL-1402(h),520.96,5737,A114,-38.37064249,-68.71724196,5,1,2,2,1,23
12591,YPF.Nq.LLL-1403(h),LLL-1403(h),520.96,5585,A114,-38.37064221,-68.71712753,5,1,2,2,1,23
12592,YPF.Nq.RDM-115(h),RDM-115(h),588.98,999999,A155,-38.61754865,-69.39980219,8,2,2,2,2,14
12593,YPF.Nq.SCB.a-82,SCB.a-82,1051.59,1052,A164,-37.63949541,-68.76187784,8,0,0,2,2,20
12594,APS.Nq.ADC.a-1021(d),ADC.a-1021(d),350.2,2513,A001,-38.86293911,-68.40572011,6,0,1,3,1,13
12595,APS.Nq.Sa-1239,Sa-1239,370.8,2870,A001,-38.91965715,-68.27129019,6,2,0,3,1,11
