INDEX,AREA_NAME,OBJECTID,SURFACE_AREA,PERIMETER,OPERATOR_INDEX3,CONTRACT_INDEX2
23,AL SUR DE LA DORSAL BLOQUE VI,302.00000000,55.000000000000000,31.000000000000000,13,1
24,AL SUR DE LA DORSAL BLOQUE VII,300.00000000,26.319869930000000,24.069037830000000,13,1
25,ALUMINE ,254.00000000,6900.616106810000000,509.133529100000000,7,10
26,ANTICLINAL CAMPAMENTO ,197.00000000,325.954612120000000,76.198826740000000,13,1
27,APON BLOQUE I,322.00000000,110.853819950000000,57.684787670000000,7,10
28,APON BLOQUE II,216.00000000,89.607085890000000,45.079257990000000,7,10
29,BAJADA COLORADA ,218.00000000,1081.760554460000000,314.671954730000000,7,10
30,BAJADA DE A?ELO ,246.00000000,203.583056930000000,104.685686230000000,22,3
31,BAJADA DEL PALO ESTE ,243.00000000,198.139545380000000,100.335646430000000,25,3
32,BAJADA DEL PALO OESTE ,243.00000000,253.558609810000000,100.335646430000000,25,3
33,BAJO BAGUALES ,257.00000000,274.253431820000000,129.775638180000000,13,1
34,BAJO DEL CHOIQUE - LA INVERNADA ,271.00000000,401.892493360000000,78.151755500000000,6,3
35,BAJO DEL TORO ,321.00000000,156.790993780000000,97.601359580000000,7,10
36,BAJO DEL TORO ESTE ,321.00000000,133.138433590000000,97.601359580000000,5,7
37,BANDURRIA CENTRO ,247.00000000,129.257590110000000,121.364826010000000,15,3
38,BANDURRIA NORTE ,247.00000000,107.012571030000000,121.364826010000000,26,3
39,BANDURRIA SUR ,247.00000000,228.023117970000000,121.364826010000000,27,3
40,BARDA COLORADA BLOQUE I ,189.00000000,30.352225810000000,63.621507550000000,7,10
41,BORDE DEL LIMAY ,203.00000000,368.201266870000000,142.788213210000000,7,10
42,BUTA RANQUIL ,212.00000000,318.112941650000000,94.092010100000000,7,10
43,CA?ADON DE LAS HORQUETAS ,218.00000000,441.070841390000000,314.671954730000000,7,10
44,CARRO QUEBRADO ,281.00000000,242.818839670000000,207.027850620000000,7,10
45,CATRIEL VIEJO ,194.00000000,46.363763660000000,31.177812140000000,7,10
46,CENTENARIO BLOQUE I,334.00000000,43.073277440000000,68.762495890000000,19,1
47,CENTENARIO BLOQUE II,334.00000000,30.634351970000000,68.762495890000000,19,1
48,CENTENARIO CENTRO ,334.00000000,129.561190780000000,68.762495890000000,19,3
49,CERRO ARENA ,277.00000000,378.377543480000000,192.512628990000000,27,7
50,CERRO ARENA SUR ,235.00000000,122.713845490000000,142.963186480000000,7,10
51,CERRO AVISPA NORTE ,222.00000000,228.920978080000000,139.386170910000000,7,10
52,CERRO AVISPA SUR ,222.00000000,241.377856900000000,139.386170910000000,7,10
53,CERRO BANDERA ,228.00000000,249.480587930000000,88.494056400000000,13,1
54,CERRO HAMACA ,217.00000000,196.533533700000000,97.856667630000000,27,1
55,CERRO LAS MINAS ,231.00000000,134.515614170000000,57.752000030000000,27,7
56,CERRO MANCHADO ,187.00000000,514.323129890000000,369.024889740000000,7,10
57,CERRO PARTIDO ESTE ,313.00000000,114.264547170000000,104.482964590000000,7,10
58,CERRO PARTIDO NORTE ,313.00000000,213.927431240000000,104.482964590000000,7,10
59,CERRO PARTIDO OESTE ,313.00000000,241.731889560000000,104.482964590000000,7,10
60,CERRO VAGON ,249.00000000,380.423942120000000,166.298236150000000,7,10
61,CHASQUIVIL ,267.00000000,121.133771580000000,84.904268410000000,7,9
