DEPTH_m,LATITUDE,LONGITUDE,FM_ID
855,-38.90726566,-69.26968171,7
1150,-38.90912835,-69.26771373,13
894,-38.91065196,-69.26822164,13
779,-38.90366509,-69.26961893,7
779,-38.90160035,-69.26131669,16
802,-38.90211385,-69.25925416,16
920,-38.90830958,-69.26539671,16
1352,-38.9099549,-69.26314514,7
1042,-38.90952537,-69.2597727,16
1120,-38.91181481,-69.25783049,13
1100,-38.91227726,-69.26091255,13
985,-38.90847632,-69.2565368,13
797,-38.9028032,-69.25580367,16
180.51,-38.9060377,-69.25641743,7
791,-38.90541078,-69.25378235,16
1179,-38.90600836,-69.25273993,13
1001,-38.90355831,-69.2537079,16
962,-38.90474515,-69.25028077,7
764,-38.90689657,-69.25000568,16
999999,-38.90630045,-69.24586224,7
1100,-38.90376627,-69.24732727,13
759,-38.91094532,-69.25151922,16
831,-38.91366895,-69.25744039,16
884,-38.9136858,-69.2541344,16
681,-38.91292106,-69.24808499,7
867,-38.91324226,-69.24603367,7
748,-38.90948219,-69.24873665,16
999999,-38.90986937,-69.24727555,13
759,-38.90887348,-69.24599401,16
1100,-38.90469756,-69.24474621,16
383,-38.90486944,-69.24520148,7
45,-38.90554841,-69.2427506,7
992,-38.90773215,-69.2407672,16
761,-38.90667376,-69.23713838,13
767,-38.90503212,-69.23699775,13
785,-38.90575591,-69.23519371,16
767,-38.90254666,-69.23628906,16
761,-38.90166148,-69.23240309,13
779,-38.90354481,-69.23172108,13
773,-38.90389707,-69.23323371,13
999999,-38.90206912,-69.23020484,7
826,-38.90188688,-69.23010595,13
760,-38.90018548,-69.23104662,13
728,-38.90115106,-69.22830953,13
761,-38.9004011,-69.22882322,13
955,-38.90115247,-69.22758454,13
760,-38.90189119,-69.22790639,13
999999,-38.90298429,-69.22868405,7
777,-38.9043844,-69.22958561,13
999999,-38.90528072,-69.22788036,7
764,-38.90537898,-69.22672554,13
999999,-38.90354686,-69.22577351,13
999999,-38.90209651,-69.22601468,7
762,-38.90221268,-69.22552352,16
755,-38.89975194,-69.22689196,13
750,-38.89981153,-69.22587227,13
760,-38.90068606,-69.22548182,13
755,-38.90058799,-69.22653827,13
747,-38.89745981,-69.22548391,13
750,-38.89906173,-69.22631225,13
788,-38.89895384,-69.22747923,13
759,-38.89905448,-69.22509575,13
